timit,tipa input 1,tipa input 2,usage,worldbet,sampa,ipa number,unicode symbol,kirshenbaum,xsampa,entity dec,unicode hex,place,manner,phonation,variety
,i,i,close front unrounded vowel short,i,i,301,i,i,i,,,,,voiced
iy,i:,i:,close front unrounded vowel long,i:,i:,?,iː,?,?,,,,,voiced
m,m,m,,,,114,m,m,m,&#109;,U+006D,bilabial,nasal,voiced
,,,,,,115,ɱ,M,F,&#625;,U+0271,labiodental,nasal,voiced
,,,,,,116 408,n̪,n[,n_d,&#110;​&#810;,U+006E U+032A,dental,nasal,voiced
,,,,,,116,n,n,n,&#110;,U+006E,alveolar,nasal,voiced
,,,,,,117,ɳ,n.,n`,&#627;,U+0273,retroflex,nasal,voiced
,,,,,,118,ɲ,n^,J,&#626;,U+0272,palatal,nasal,voiced
,,,,,,120,N,"n""",N\,&#628;,U+0274,uvular,nasal,voiced
,,,,,,101,p,p,p,&#112;,U+0070,bilabial,plosive,voiceless,plain
,,,,,,,pʰ,,p_h,,,bilabial,plosive,voiceless,aspirated
,,,,,,,pʲ,,p' (or p_j),,,bilabial,plosive,voiceless,palatalized
,,,,,,,pʷ,,p_w,,,bilabial,plosive,voiceless,labialized
,,,,,,,p̚,,p_},,,bilabial,plosive,voiceless,unreleased
,,,,,,,p̌,,p_v,,,bilabial,plosive,voiceless,voiced
,,,,,,,pʼ,,p_>,,,bilabial,plosive,voiceless,ejective
,,,,,,101 408,p̪	,p[,p_d,&#112;​&#810;,U+0070 U+032A,labiodental,plosive,voiceless
,,,,,,,b,b,b,&#98;,U+0062,bilabial,plosive,voiced,plain
,,,,,,,bʷ,,,,,bilabial,plosive,voiced,labialised
,,,,,,,b̜ʷ,,,,,bilabial,plosive,voiced,semi-labialised
,,,,,,,b̹ʷ,,,,,bilabial,plosive,voiced,strongly labialised
,,,,,,,bʲ,,,,,bilabial,plosive,voiced,palatalised
,,,,,,,bʱ,,,,,bilabial,plosive,voiced,breathy voiced
,,,,,,102 408,b̪,b[,b_d,&#98;​&#810;,U+0062 U+032A,labiodental,plosive,voiced
,,,,,,103 408,t̪,t[,t_d,&#116;​&#810;,U+0074 U+032A,dental,plosive,voiceless,plain
,,,,,,,t̪ʰ,,,,,dental,plosive,voiceless,aspirated
,,,,,,,t̪ʲ,,,,,dental,plosive,voiceless,palatalized
,,,,,,,t̪ʷ,,,,,dental,plosive,voiceless,labialized
,,,,,,,t̪̚,,,,,dental,plosive,voiceless,unreleased
,,,,,,,t̪ʼ,,,,,dental,plosive,voiceless,ejective
,,,,,,,t̪ˤ,,,,,dental,plosive,voiceless,pharyngeal


,,,,,,136,ʂ,s.,s`,&#642;,U+0282,retroflex,fricative,voiceless
